contact_id	cnt_ age_est_min	cnt_ age_est_max	cnt_gender	cnt_home	cnt_work	cnt_school	cnt_transport	cnt_leisure	cnt_otherplace	frequency_multi	phys_contact	duration_multi
9	3		M	0	0	1	0	0	0	1	1	5
9	1		F	0	0	1	0	0	0	1	1	3
9	3		M	0	0	1	0	0	0	1	1	5
9	3		F	0	0	1	0	0	0	1	1	5
9	13		M	1	0	0	0	0	0	2	1	3
9	2		M	0	0	1	0	0	0	1	1	5
9	2		F	0	0	1	0	0	0	1	1	5
10	10		M	1	0	0	0	0	0	1	1	4
10	55		F	1	0	0	0	0	0	1	1	4
10	2	5	F	0	0	0	0	1	0	5	2	3
10	35	45	F	0	0	0	0	0	1	4	1	3
10	40		M	1	0	0	0	0	0	1	1	4
10	28		M	1	0	0	0	0	0	2	1	3
10	2	5	M	0	0	0	0	1	0	5	1	3
10	38		F	1	0	0	0	0	0	1	1	5
10	21		M	0	0	0	0	0	1	2	1	3
10	35		F	1	0	0	0	0	0	1	1	5
10	2	5	M	0	0	0	0	1	0	5	2	3
10	2	5	M	0	0	0	0	1	0	5	2	3
10	83		F	0	0	0	0	0	1	4	1	3
10	23		M	0	0	0	0	0	1	4	1	3
10	2	5	F	0	0	0	0	1	0	5	1	3
10	60		M	0	0	0	0	0	1	1	1	3
10	50	60	M	0	0	0	0	0	1	2	1	1
10	5		M	0	0	0	0	0	1	4	1	4
11	40		F	1	0	0	0	0	0	2	2	4
11	22		F	0	0	0	0	0	1	3	2	2
11	41		F	1	0	0	0	0	0	1	1	5
11	16		F	1	0	0	0	0	0	1	1	5
11	32		M	0	0	0	0	0	1	3	2	2
11	50		M	1	0	0	0	0	0	1	1	5
11	28		F	1	0	0	0	0	0	2	1	
11	14		F	1	0	0	0	0	0	1	1	5
12	30		M	0	0	0	1	0	1	2	1	5
12	42		M	1	0	0	0	0	0	1	1	5
12	25		F	0	0	0	1	0	1	2	1	5
12	42		F	1	0	0	0	0	0	1	1	5
13	42		M	1	0	0	0	0	0	1	1	4
13	3		F	1	0	0	0	0	0	1	1	4
13	38		F	1	0	0	0	0	0	1	1	5
13	66		F	1	0	0	0	0	0	1	1	3
13	42		M	1	0	0	0	0	0	1	1	4
13	8		M	0	0	1	0	0	0	1	1	4
13	38		F	1	0	0	0	0	0	1	1	5
13	38		F	1	0	0	0	0	0	1	1	5
13	8		M	0	0	0	0	1	0	1	1	3
13	8		M	0	0	1	0	1	0	1	1	5
13	8	10	M	0	0	0	0	1	0	1	1	3
13	38		F	1	0	0	0	0	0	1	1	5
13	64		F	1	0	0	0	0	0	1	1	4
13	42		M	1	0	0	0	0	0	1	1	4
13	8		M	0	0	1	0	1	0	1	1	3
13	8		M	0	0	1	0	0	0	1	1	4
13	42		M	1	0	0	0	0	0	1	1	4
13	38		F	1	0	0	0	0	0	1	1	5
13	38		F	1	0	0	0	0	0	1	1	3
13	62		F	1	0	0	0	0	0	1	1	4
13	38		F	1	0	0	0	0	0	1	1	4
13	8	10	F	0	0	0	0	1	0	1	1	3
13	8	10	M	0	0	0	0	1	0	1	1	3
13	38		F	1	0	0	0	0	0	1	1	4
13	38		F	1	0	0	0	0	0	1	1	5
13	3		F	1	0	0	0	1	0	1	1	
13	42		M	1	0	0	0	0	0	1	1	5
13	38		F	1	0	0	0	0	0	1	1	5
13	38		F	1	0	0	0	1	0	1	1	5
13	62		F	1	0	0	0	1	0	1	1	5
13	42		M	1	0	0	0	0	0	1	1	4
13	8		M	0	0	1	0	0	0	1	1	4
13	8		M	0	0	1	0	0	0	1	1	4
13	8		M	0	0	1	0	0	0	1	1	4
13	65		M	0	0	0	0	1	0	2		3
13	8		F	0	0	1	0	0	0	1	1	4
13	3		F	1	0	0	0	0	0	1	1	2
14	39		F	1	0	0	1	0	0	1	1	5
14	42		F	0	0	1	0	0	0	2	1	4
14	76		F	0	0	0	0	0	1	2	1	3
14	2		M	0	0	1	0	0	0	1	1	4
14	2		F	0	0	1	0	0	0	1	1	4
14	39	45	F	0	0	1	0	0	0	3	1	2
14	2		M	0	0	1	0	0	0	1	1	4
14	39		M	1	0	0	1	0	0	1	1	5
14	10		M	1	0	0	0	0	0	1	1	5
15	40		M	1	0	0	0	0	0	1	1	5
15	60	65	M	0	0	0	0	0	1	1	1	1
15	38		F	1	0	0	1	1	0	1	1	5
15	71		M	1	0	0	0	0	0	1	1	5
15	29		F	1	0	0	0	0	0	2	1	3
15	65		F	1	0	0	0	0	0	1	1	5
15	37		F	1	0	0	0	0	0	1	1	4
16	34		F	0	0	1	0	0	0	1	1	4
16	68		M	1	0	0	0	0	0	1	1	3
16	55		M	0	0	1	0	0	0	2	2	3
16	5		M	0	0	1	0	0	0	1	1	5
16	34		F	1	0	0	0	0	0			
16	5		M	0	0	1	0	0	0	1	1	5
16	34		F	0	0	1	0	0	0	1	1	4
16	61		F	1	0	0	0	0	0	1	1	3
16	24		M	0	0	1	0	0	0	2	2	3
16	5		M	0	0	1	0	0	0	1	1	4
16	5		M	0	0	1	0	0	0	1	1	4
16	5		F	0	0	1	0	0	0	1	1	4
16	5		M	0	0	1	0	0	0	1	1	5
16	27		F	0	0	0	0	1	0		2	3
16	9		F	0	0	0	0	1	0		2	3
16	5		F	0	0	1	0	0	0	1	1	5
16	41		M	1	0	0	0	0	0			
16	59		M	0	0	0	0	1	0	1	1	4
16	57		F	0	0	0	0	1	0	1	1	4
16	5		F	0	0	1	0	0	0	1	1	5
17	12		M	0	0	0	0	1	0	2	1	3
17	35		M	0	0	0	0	1	0	2	1	4
17	12		M	0	0	0	0	0	0			
17	12		M	0	0	0	0	1	0	2	2	3
17	72		F	0	0	0	0	0	1	2	1	5
17	12		M	0	0	0	0	1	0	1	1	3
17	38		F	0	0	0	0	0	1	2	1	5
17	11		M	0	0	0	0	1	0	2	1	4
17	13		M	0	0	0	0	1	0	3	2	3
17	13		M	0	0	0	0	1	0	3	2	3
17	40		M	0	0	0	0	1	0	3	2	2
17	12		M	0	0	0	0	1	0	2	1	4
17	6		M	0	0	0	0	0	1	2	1	5
17	35		M	0	0	0	0	1	0	2	1	4
17	12		M	0	0	0	0	0	1	2	1	5
17	40		F	0	0	0	0	0	1	2	1	5
17	53		M	0	0	0	0	0	1	2	1	5
17	30		M	0	0	0	0	0	1	3	1	5
17	12		M	0	0	0	0	1	0	4	2	2
17	60		M	0	0	0	0	1	0	4	2	2
17	40		F	0	0	0	0	0	1	2	1	5
17	38		M	0	0	0	0	0	1	2	1	5
17	50		F	0	0	0	0	0	1	2	1	5
